"TOA5","Buchillon","CR6","2688","CR6.Std.05.01","CPU:buchillon_v3_0.CR6","10111","LoggerSensor"
"TIMESTAMP","RECORD","BattV_Avg","BattV_Min","PTemp_C_Avg","CDM1BattV_Avg","CDM1PTempC1_Avg","CDM1PTempC2_Avg","WaterTemp0mKT15a_Avg","WaterTemp0mKT15n_Avg"
"TS","RN","Volts","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Min","Avg","Avg","Avg","Avg","Avg","Avg"
"2016-12-05 11:00:00",87,12.01,11.86,3.396,11.94,2.966,3.157,8.37,8.41
"2016-12-05 12:00:00",88,12.16,11.91,3.914,12.1,3.532,3.705,8.44,8.47
"2016-12-05 13:00:00",89,12.44,12.14,4.403,12.37,4.096,4.265,8.4,8.44
"2016-12-05 14:00:00",90,13.02,12.45,4.867,12.95,4.818,4.973,8.17,8.21
"2016-12-05 15:00:00",91,13.32,13.15,5.45,13.24,5.697,5.866,8.4,8.44
