"TOA5","Buchillon","CR6","2688","CR6.Std.05.01","CPU:buchillon_v2_1.CR6","45961","CPIStatus"
"TIMESTAMP","RECORD","BusLoad","ModuleReportCount","ActiveModules","BuffErr","RxErrMax","TxErrMax","FrameErr","ModuleInfo(1)","ModuleInfo(2)","ModuleInfo(3)","ModuleInfo(4)","ModuleInfo(5)","ModuleInfo(6)"
"TS","RN","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"2016-12-01 14:06:10.006",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","","""2016-12-01 15:05:11.31",5,0.375,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-01 15:05:25.21",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-01 16:05:10.513",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-01 17:05:11.489",5,0.5625,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-01 18:05:11.908",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-01 19:05:12.507",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-01 20:05:03.644",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-01 21:05:01.596",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-01 22:05:01.636",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-01 23:05:02.172",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 00:05:01.624",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 01:05:01.902",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 03:05:01.45",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 04:05:01.469",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 05:05:02.046",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 06:05:01.422",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 07:05:00.871",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 08:05:00.826",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 09:05:00.804",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 10:05:11.177",5,0.75,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 11:05:11.882",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 12:05:00.969",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 13:05:00.915",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 14:05:01.12",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 15:05:01.094",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 16:05:01.144",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 17:05:01.297",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 18:05:01.376",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 19:05:01.289",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 20:05:01.301",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 21:05:01.379",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 22:05:01.342",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-02 23:05:01.316",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 00:05:00.829",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 01:05:00.801",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 02:05:00.762",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 03:05:00.756",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 04:05:00.933",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 05:05:01.145",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 06:05:00.987",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 07:05:01.086",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 08:05:01.176",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 09:05:01.044",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 10:05:00.992",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 11:05:01.216",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 12:05:01.166",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 13:05:01.145",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 14:05:01.373",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 15:05:01.327",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 16:05:01.503",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 17:05:01.28",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 18:05:00.757",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 19:05:00.782",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 20:05:00.722",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 21:05:00.958",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 22:05:00.883",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-03 23:05:00.84",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-04 00:05:00.876",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-04 01:05:01.023",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-04 02:05:01.015",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-04 03:05:00.967",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
"2016-12-04 04:05:01.169",5,0,1,1,0,0,0,0,"CDM-A108,1266,CDM-A100,1,Active","","","","",""
