"TOA5","Buchillon","CR6","2688","CR6.Std.03","CPU:buchillon_v2_1.CR6","10245","WeatherSensor"
"TIMESTAMP","RECORD","WaterTemp35m_Avg","WaterTemp1m_Avg","AirTemp10m_Avg","SolarW_Avg","SolarWh_Tot","Rain_mm_Tot","AirTemp7m_Avg","RH_Avg","DewP_Avg","Gust_Max","Gust_TMx","Mean_Wind_Speed","Mean_Wind_Dir"
"TS","RN","Deg C","Deg C","Deg C","W/m^2","Wh/m^2","mm","Deg C","%","Deg C","m/s","m/s","m/s","Deg"
"","","Avg","Avg","Avg","Avg","Tot","Tot","Avg","Avg","Avg","Max","TMx","WVc","WVc"
"2016-11-01 00:00:00",1860,7999,"INF",7.893,0,0,0,0,0,0,2.4,"2016-10-31 23:04:00",0.981,17.53
"2016-11-01 01:00:00",1861,7999,7999,7.836,0,0,0,0,0,0,2.1,"2016-11-01 00:26:00",0.953,14.29
"2016-11-01 02:00:00",1862,7999,"INF",7.698,0,0,0,0,0,0,2.6,"2016-11-01 01:57:00",1.081,9.22
"2016-11-01 03:00:00",1863,7999,7999,7.557,0,0,0,0,0,0,2.4,"2016-11-01 02:43:00",1.181,4.829
"2016-11-01 04:00:00",1864,7999,7999,7.534,0,0,0,0,0,0,2.3,"2016-11-01 03:44:00",1.015,3.344
"2016-11-01 05:00:00",1865,7999,7999,7.575,0,0,0,0,0,0,2,"2016-11-01 04:10:00",0.851,14.4
"2016-11-01 06:00:00",1866,7999,7999,7.495,0,0,0,0,0,0,2.3,"2016-11-01 05:50:00",1.034,27.41
"2016-11-01 07:00:00",1867,7999,7999,7.452,0,0,0,0,0,0,2.4,"2016-11-01 06:58:00",1.058,18.11
"2016-11-01 08:00:00",1868,7999,7999,7.28,0,0,0,0,0,0,2.2,"2016-11-01 07:09:00",0.965,14.43
"2016-11-01 09:00:00",1869,7999,7999,7.175,3.236,19.41455,0,0,0,0,2.8,"2016-11-01 08:59:00",0.866,28.6
"2016-11-01 10:00:00",1870,7999,7999,7.482,21.99,131.9461,0,0,0,0,2.2,"2016-11-01 09:00:10",0.947,2.957
"2016-11-01 11:00:00",1871,7999,"INF",7.414,50.64,303.8235,0,0,0,0,3.6,"2016-11-01 10:35:00",1.376,343.4
"2016-11-01 12:00:00",1872,7999,7999,7.388,91.2,547.0564,0,0,0,0,3.8,"2016-11-01 11:01:00",1.961,334.9
"2016-11-01 13:00:00",1873,7999,7999,7.631,102.4,614.3669,0,0,0,0,3.4,"2016-11-01 12:09:00",1.009,288.1
"2016-11-01 14:00:00",1874,7999,"INF",8.1,102.1,612.7592,0,0,0,0,3.8,"2016-11-01 13:56:00",1.542,289.6
"2016-11-01 15:00:00",1875,7999,7999,8.31,149.7,897.9205,0,0,0,0,5.3,"2016-11-01 14:07:00",2.042,263.8
"2016-11-01 16:00:00",1876,7999,"INF",9.48,193.2,1159.425,0,0,0,0,3,"2016-11-01 15:07:00",1.092,243.7
"2016-11-01 17:00:00",1877,7999,7999,9.42,180.5,1083.282,0,0,0,0,2.4,"2016-11-01 16:53:00",1.382,185.2
